qname	qlen	qstart	qend	strand	tname	tlen	tstart	tend	nmatch	alen	mapq
scaffold_1255	684	159	259	+	CP052039.1	5611497	5558720	5558821	76	101	0
scaffold_6	1692318	297889	298029	-	CP052039.1	5611497	5558720	5558861	73	141	0
scaffold_59	256653	67163	67783	+	CP052039.1	5611497	5559179	5559799	121	620	0
scaffold_1619	521	51	453	+	CP052039.1	5611497	5559526	5559928	96	402	0
scaffold_75	154281	102275	102612	+	CP052039.1	5611497	5560067	5560392	76	337	0
scaffold_70	181850	30507	37993	+	CP052039.1	5611497	5560067	5567690	152	7633	0
scaffold_48	348853	333543	341163	+	CP052039.1	5611497	5560254	5568062	375	7808	0
scaffold_343	16140	2921	3061	+	CP052039.1	5611497	5560254	5560392	85	140	0
scaffold_21	738175	55591	55757	+	CP052039.1	5611497	5560256	5560421	138	166	0
scaffold_212	35064	7180	7318	+	CP052039.1	5611497	5560283	5560421	93	138	0
scaffold_70	181850	173079	180728	-	CP052039.1	5611497	5560283	5568062	401	7779	0
scaffold_32	471417	2675	10327	-	CP052039.1	5611497	5560295	5568033	184	7771	0
scaffold_129	76929	56613	57397	-	CP052039.1	5611497	5560431	5561215	97	784	0
scaffold_343	16140	2921	3061	+	CP052039.1	5611497	5567895	5568033	85	140	0
scaffold_102	100464	74917	75086	+	CP052039.1	5611497	5567895	5568064	155	169	0
scaffold_21	738175	55591	55757	+	CP052039.1	5611497	5567897	5568062	138	166	0
scaffold_212	35064	7180	7320	+	CP052039.1	5611497	5567924	5568064	95	140	0
scaffold_22	716055	24903	25021	-	CP052039.1	5611497	5570992	5571109	59	118	0
scaffold_9	1406917	460213	460312	+	CP052039.1	5611497	5570992	5571091	79	99	0
scaffold_315	18631	6918	7126	+	CP052039.1	5611497	5573160	5573368	98	208	0
scaffold_1255	684	154	285	+	CP052039.1	5611497	5573160	5573291	63	131	0
scaffold_71	175185	109385	109782	-	CP052039.1	5611497	5573165	5573613	115	451	0
scaffold_5	1863748	315414	316147	+	CP052039.1	5611497	5573165	5573916	202	751	0
scaffold_1	2692756	225087	225223	-	CP052039.1	5611497	5573165	5573301	76	136	0
scaffold_35	440808	249027	249774	+	CP052039.1	5611497	5573165	5573858	146	747	0
scaffold_32	471417	38139	38853	-	CP052039.1	5611497	5573182	5573897	117	717	0
scaffold_122	81337	48078	48541	-	CP052039.1	5611497	5573182	5573648	86	466	0
scaffold_315	18631	12557	13232	-	CP052039.1	5611497	5573219	5573897	131	678	0
scaffold_67	184376	79846	80471	+	CP052039.1	5611497	5573250	5573892	109	642	0
scaffold_90	123581	31057	31445	-	CP052039.1	5611497	5573263	5573648	76	388	0
scaffold_367	15003	14045	14185	-	CP052039.1	5611497	5573942	5574082	61	140	0
scaffold_116	84153	23027	23145	+	CP052039.1	5611497	5573942	5574059	57	118	0
scaffold_122	81337	28976	29063	-	CP052039.1	5611497	5573995	5574082	83	87	0
scaffold_122	81337	36220	36301	-	CP052039.1	5611497	5574001	5574082	74	81	0
scaffold_137	72425	12145	12226	+	CP052039.1	5611497	5574001	5574082	81	81	0
scaffold_1563	533	57	99	+	CP052039.1	5611497	5574040	5574082	42	42	0
scaffold_227	31762	10864	11262	-	CP052039.1	5611497	5577808	5578241	67	433	0
scaffold_14	908909	21229	21376	-	CP052039.1	5611497	5587543	5587691	59	148	0
scaffold_185	43118	1323	6729	-	CP052039.1	5611497	5587651	5592792	626	5418	0
scaffold_145	69505	64603	64712	+	CP052039.1	5611497	5588202	5588310	71	109	0
scaffold_1096	830	190	811	+	CP052039.1	5611497	5588202	5588823	172	621	0
scaffold_9	1406917	460047	460290	-	CP052039.1	5611497	5588227	5588471	96	244	0
scaffold_2	2503568	2498740	2500126	+	CP052039.1	5611497	5588227	5589611	95	1387	0
scaffold_4	1881388	528139	529476	+	CP052039.1	5611497	5588227	5589567	136	1340	0
scaffold_137	72425	12912	13188	-	CP052039.1	5611497	5588227	5588513	76	286	0
scaffold_1	2692756	219959	224588	-	CP052039.1	5611497	5588244	5592840	518	4685	0
scaffold_48	348853	329536	331778	+	CP052039.1	5611497	5588244	5590523	372	2279	0
scaffold_431	11085	857	5453	+	CP052039.1	5611497	5588244	5592840	560	4606	0
scaffold_32	471417	275399	277607	+	CP052039.1	5611497	5588283	5590411	339	2208	0
scaffold_59	256653	80215	80678	-	CP052039.1	5611497	5588285	5588747	89	463	0
scaffold_122	81337	30361	32094	-	CP052039.1	5611497	5589619	5591430	85	1811	0
scaffold_99	104861	21038	21084	+	CP052039.1	5611497	5593064	5593110	46	46	0
scaffold_297	20811	20684	20780	+	CP052039.1	5611497	5595736	5595832	65	96	0
scaffold_33	455355	447727	448335	+	CP052039.1	5611497	5595741	5596379	188	638	0
scaffold_111	88385	87894	88307	+	CP052039.1	5611497	5595741	5596170	99	429	0
scaffold_129	76929	76422	76825	+	CP052039.1	5611497	5595741	5596170	107	429	0
scaffold_75	154281	151410	153511	-	CP052039.1	5611497	5595795	5597910	750	2116	0
scaffold_137	72425	9305	10465	-	CP052039.1	5611497	5596241	5597404	100	1167	0
scaffold_287	21903	9832	10185	+	CP052039.1	5611497	5596700	5597050	94	353	0
scaffold_175	46490	7307	9002	-	CP052039.1	5611497	5600511	5602265	624	1755	0
scaffold_401	12799	9017	11555	-	CP052039.1	5611497	5600511	5603344	976	2833	0
scaffold_1085	847	607	768	+	CP052039.1	5611497	5600511	5600672	72	161	0
scaffold_153	61587	9718	10074	-	CP052039.1	5611497	5605995	5606351	129	356	0
scaffold_62	231438	77353	79071	-	CP052040.1	5151772	11734	13458	203	1725	60
scaffold_14	908909	189150	190596	-	CP052040.1	5151772	35080	36525	1188	1446	60
scaffold_59	256653	81270	149809	+	CP052040.1	5151772	45331	108631	32469	75144	60
scaffold_131	76605	58451	59165	+	CP052040.1	5151772	60293	61008	158	715	60
scaffold_10	1239786	172833	173644	+	CP052040.1	5151772	60293	61106	194	813	60
scaffold_16	897138	35168	36059	-	CP052040.1	5151772	60343	61234	145	891	60
scaffold_59	256653	159077	190091	+	CP052040.1	5151772	110258	141225	20519	31042	60
scaffold_59	256653	208123	256526	+	CP052040.1	5151772	153134	196178	25129	52186	60
scaffold_60	240913	281	13325	+	CP052040.1	5151772	196207	206979	7102	13053	60
scaffold_60	240913	16427	16615	+	CP052040.1	5151772	210940	211128	87	188	60
scaffold_60	240913	19510	33565	+	CP052040.1	5151772	213076	225612	7297	14080	60
scaffold_60	240913	37941	133322	+	CP052040.1	5151772	228320	315360	49750	95540	60
scaffold_60	240913	144484	229456	+	CP052040.1	5151772	320676	400941	46866	86390	60
scaffold_6	1692318	297303	297874	-	CP052040.1	5151772	406079	406679	151	600	60
scaffold_48	348853	66053	66626	+	CP052040.1	5151772	413939	414510	137	575	60
scaffold_39	398046	118640	119630	+	CP052040.1	5151772	415351	416328	115	990	60
scaffold_116	84153	23126	26281	+	CP052040.1	5151772	416843	420064	200	3221	60
scaffold_104	98169	129	1340	-	CP052040.1	5151772	426395	427606	125	1211	60
scaffold_1059	878	6	453	-	CP052040.1	5151772	426474	426921	265	447	60
scaffold_50	298037	157050	158019	+	CP052040.1	5151772	426849	427819	140	970	60
scaffold_4	1881388	1879197	1881232	+	CP052040.1	5151772	431230	433252	158	2036	60
scaffold_66	184824	1868	2880	-	CP052040.1	5151772	436501	437525	131	1042	60
scaffold_1201	727	22	715	+	CP052040.1	5151772	436996	437689	474	693	60
scaffold_129	76929	59079	59637	-	CP052040.1	5151772	437006	437618	150	612	60
scaffold_60	240913	237330	238192	+	CP052040.1	5151772	442731	443594	510	863	60
scaffold_357	15566	177	12541	-	CP052040.1	5151772	443660	456181	7380	12525	60
scaffold_15	906157	851535	903702	-	CP052040.1	5151772	456225	506534	32208	52305	60
scaffold_1429	590	15	583	-	CP052040.1	5151772	496298	496866	551	568	60
scaffold_15	906157	419096	844281	-	CP052040.1	5151772	525495	952439	334234	428569	60
scaffold_15	906157	1207	419672	-	CP052040.1	5151772	952721	1369228	356074	419344	60
scaffold_1294	660	5	653	+	CP052040.1	5151772	976863	977511	586	648	60
scaffold_88	125722	76892	77323	-	CP052040.1	5151772	1101387	1101818	218	431	60
scaffold_61	235649	211713	212123	-	CP052040.1	5151772	1102487	1102897	155	410	60
scaffold_79	145410	138	145125	+	CP052040.1	5151772	1369251	1512127	126366	145262	60
scaffold_3	2381582	21951	1949072	+	CP052040.1	5151772	1512230	3435918	1676436	1930900	60
scaffold_88	125722	67570	68958	+	CP052040.1	5151772	3304944	3306332	720	1388	60
scaffold_3	2381582	1955034	2234713	+	CP052040.1	5151772	3442427	3720365	233338	280452	60
scaffold_3	2381582	2235643	2236905	-	CP052040.1	5151772	3721760	3723039	294	1279	60
scaffold_3	2381582	2244217	2291392	+	CP052040.1	5151772	3723020	3770297	37880	47356	60
scaffold_3	2381582	2298560	2299331	+	CP052040.1	5151772	3774627	3775317	148	771	60
scaffold_3	2381582	2302283	2381576	+	CP052040.1	5151772	3776034	3855433	68687	79485	60
scaffold_88	125722	62884	63904	+	CP052040.1	5151772	3791754	3792774	391	1020	60
scaffold_44	359581	10	166819	+	CP052040.1	5151772	3855435	4022313	145313	167147	60
scaffold_44	359581	179480	180562	-	CP052040.1	5151772	4035369	4036474	133	1157	60
scaffold_1013	933	14	843	+	CP052040.1	5151772	4058643	4059471	400	829	60
scaffold_44	359581	210352	359456	+	CP052040.1	5151772	4061865	4211155	121205	149890	60
scaffold_22	716055	383148	715911	-	CP052040.1	5151772	4211171	4544053	216802	339764	60
scaffold_1582	529	17	529	+	CP052040.1	5151772	4459114	4459626	475	512	60
scaffold_1679	509	14	497	+	CP052040.1	5151772	4542489	4542974	230	486	60
scaffold_22	716055	47534	371440	-	CP052040.1	5151772	4553490	4861786	169779	337845	60
scaffold_1701	504	12	490	-	CP052040.1	5151772	4569553	4570031	432	478	60
scaffold_1709	502	24	491	+	CP052040.1	5151772	4679334	4679798	337	467	60
scaffold_353	15650	1657	3494	-	CP052040.1	5151772	4731807	4733629	201	1837	60
scaffold_1366	622	12	605	-	CP052040.1	5151772	4805542	4806135	534	593	60
scaffold_22	716055	157	24562	-	CP052040.1	5151772	4861811	4887763	13256	26367	60
scaffold_82	143064	137	13990	+	CP052040.1	5151772	4887806	4909434	7971	21816	60
scaffold_1237	696	6	693	-	CP052040.1	5151772	4890771	4891482	369	711	60
scaffold_22	716055	37076	38815	+	CP052040.1	5151772	4909511	4911252	478	1741	60
scaffold_50	298037	241008	242820	+	CP052040.1	5151772	4909511	4911325	487	1814	60
scaffold_5	1863748	18998	20102	-	CP052040.1	5151772	4909536	4910653	190	1117	60
scaffold_12	1155968	740870	742636	-	CP052040.1	5151772	4909540	4911325	538	1785	60
scaffold_315	18631	8074	9538	-	CP052040.1	5151772	4909826	4911291	322	1466	60
scaffold_45	358384	111972	113084	-	CP052040.1	5151772	4909956	4911070	180	1114	60
scaffold_1392	607	164	586	-	CP052040.1	5151772	4910589	4911011	218	422	60
scaffold_82	143064	14822	64505	+	CP052040.1	5151772	4912476	4952901	22868	52897	60
scaffold_1267	674	1	533	-	CP052040.1	5151772	4930346	4930876	153	532	60
scaffold_82	143064	86798	92744	+	CP052040.1	5151772	4952964	4959342	3599	6383	60
scaffold_82	143064	93153	94921	-	CP052040.1	5151772	4959720	4961488	403	1769	60
scaffold_51	297976	120313	122057	+	CP052040.1	5151772	4962009	4963752	384	1744	60
scaffold_68	182924	75404	82848	+	CP052040.1	5151772	4970633	4978167	933	7534	60
scaffold_219	33473	171	575	-	CP052040.1	5151772	4970674	4971078	113	405	60
scaffold_48	348853	341410	342308	+	CP052040.1	5151772	4971490	4972389	88	899	60
scaffold_1337	636	8	625	+	CP052040.1	5151772	4985568	4986185	599	617	60
scaffold_82	143064	95596	99656	+	CP052040.1	5151772	5004475	5008291	2039	4070	60
scaffold_367	15003	3844	4297	-	CP052040.1	5151772	5008780	5009233	195	454	60
scaffold_367	15003	518	3806	-	CP052040.1	5151772	5011466	5014756	2017	3292	60
scaffold_122	81337	810	25725	+	CP052040.1	5151772	5014816	5035686	12614	24953	60
scaffold_133	76283	10910	13886	+	CP052040.1	5151772	5044340	5047361	785	3021	60
scaffold_40	392173	197410	200566	-	CP052040.1	5151772	5044500	5047646	1257	3160	60
scaffold_122	81337	50549	78392	-	CP052040.1	5151772	5055433	5075977	9033	28018	60
scaffold_85	135051	83185	83425	-	CP052040.1	5151772	5063681	5063922	110	241	60
scaffold_85	135051	82588	83047	-	CP052040.1	5151772	5065113	5065564	157	459	60
scaffold_40	392173	137491	138002	-	CP052040.1	5151772	5069026	5069534	176	511	60
scaffold_285	21996	11438	14744	-	CP052040.1	5151772	5100889	5104376	713	3490	60
scaffold_285	21996	10547	11318	-	CP052040.1	5151772	5106210	5106978	233	771	60
scaffold_9	1406917	461322	464166	-	CP052040.1	5151772	5119192	5122033	200	2847	60
scaffold_77	149510	139613	142305	+	CP052040.1	5151772	5138690	5141427	321	2737	60
scaffold_101	101313	93794	100202	+	CP052040.1	5151772	5138804	5145311	426	6559	60
scaffold_1602	525	85	296	-	CP052040.1	5151772	1301466	1301676	89	211	59
scaffold_101	101313	90680	93524	+	CP052040.1	5151772	4994540	4997972	245	3488	59
scaffold_220	33416	4539	10715	-	CP052040.1	5151772	4045185	4051098	291	6202	58
scaffold_190	40947	27418	28051	+	CP052040.1	5151772	5127912	5128667	112	757	57
scaffold_1678	509	313	450	-	CP052040.1	5151772	430173	430310	73	137	54
scaffold_71	175185	144908	146156	+	CP052040.1	5151772	4909835	4911085	147	1250	54
scaffold_154	60446	3434	3708	+	CP052040.1	5151772	4985494	4985768	82	274	54
scaffold_50	298037	154558	155837	-	CP052040.1	5151772	4909788	4911070	178	1282	53
scaffold_5	1863748	24989	25795	-	CP052040.1	5151772	60201	61008	126	807	52
scaffold_20	777291	21756	23539	+	CP052040.1	5151772	4909540	4911325	554	1785	52
scaffold_91	120630	119688	119965	-	CP052040.1	5151772	4970955	4971230	95	277	52
scaffold_45	358384	303293	306326	-	CP052040.1	5151772	4978485	4981568	304	3087	52
scaffold_67	184376	67458	67887	+	CP052040.1	5151772	60476	60905	127	429	49
scaffold_6	1692318	1549438	1550096	-	CP052040.1	5151772	406079	406759	95	680	49
scaffold_45	358384	118937	126440	+	CP052040.1	5151772	4970676	4978167	827	7594	47
scaffold_75	154281	22765	23989	-	CP052040.1	5151772	181490	182717	84	1227	46
scaffold_315	18631	10949	11223	+	CP052040.1	5151772	426348	426622	84	274	46
scaffold_283	22139	268	438	+	CP052040.1	5151772	427648	427819	83	171	45
scaffold_71	175185	100183	105909	-	CP052040.1	5151772	4055390	4060905	230	5726	45
scaffold_50	298037	235590	241893	+	CP052040.1	5151772	4959720	4965866	406	6313	45
scaffold_59	256653	61572	73533	-	CP052040.1	5151772	4969340	4981838	832	13857	45
scaffold_45	358384	56912	57400	+	CP052040.1	5151772	4910015	4910505	96	490	44
scaffold_1649	515	8	452	-	CP052040.1	5151772	4974637	4975081	192	444	44
scaffold_30	507731	452261	452935	+	CP052040.1	5151772	60293	60966	130	674	43
scaffold_60	240913	234149	235597	+	CP052040.1	5151772	401018	402436	87	1448	43
scaffold_4	1881388	515808	517223	+	CP052040.1	5151772	4909826	4911246	163	1420	43
scaffold_30	507731	444195	449178	+	CP052040.1	5151772	4970668	4975651	383	4983	42
scaffold_40	392173	60526	61407	+	CP052040.1	5151772	60201	61088	115	887	41
scaffold_1578	530	304	443	-	CP052040.1	5151772	4030825	4030964	77	139	41
scaffold_111	88385	67130	68227	+	CP052040.1	5151772	5138717	5139893	83	1176	41
scaffold_591	5228	3099	5191	-	CP052040.1	5151772	5034672	5036757	77	2092	40
scaffold_44	359581	181383	182536	-	CP052040.1	5151772	60282	61430	131	1153	39
scaffold_315	18631	7820	7963	+	CP052040.1	5151772	416251	416382	76	143	38
scaffold_35	440808	270647	272301	-	CP052040.1	5151772	4959720	4961372	286	1654	38
scaffold_194	39750	32069	32249	+	CP052040.1	5151772	5063441	5063622	72	181	38
scaffold_51	297976	234592	234781	+	CP052040.1	5151772	5065791	5065980	109	189	38
scaffold_25	600164	598747	598857	-	CP052040.1	5151772	4050630	4050740	71	110	37
scaffold_10	1239786	1197378	1197819	+	CP052040.1	5151772	60567	61008	95	441	36
scaffold_12	1155968	719459	720451	+	CP052040.1	5151772	427903	428868	246	1013	36
scaffold_16	897138	474	901	+	CP052040.1	5151772	4965248	4965675	125	427	35
scaffold_6	1692318	1598887	1599209	-	CP052040.1	5151772	410767	411090	68	323	34
scaffold_10	1239786	1224778	1231082	+	CP052040.1	5151772	4972130	4978440	254	6310	34
scaffold_51	297976	276898	277338	+	CP052040.1	5151772	4975068	4975506	68	440	34
scaffold_104	98169	3480	3617	-	CP052040.1	5151772	60768	60905	66	137	33
scaffold_4	1881388	507321	512201	+	CP052040.1	5151772	423596	428361	156	4943	33
scaffold_40	392173	109903	110420	-	CP052040.1	5151772	436684	437227	114	543	32
scaffold_32	471417	19847	20004	-	CP052040.1	5151772	4053458	4053615	65	157	32
scaffold_50	298037	268382	268527	-	CP052040.1	5151772	4962651	4962796	65	145	32
scaffold_30	507731	17075	17312	-	CP052040.1	5151772	4970668	4970905	65	237	32
scaffold_154	60446	6060	6856	+	CP052040.1	5151772	5034358	5035154	76	796	32
scaffold_218	33655	24419	24542	+	CP052040.1	5151772	4989377	4989500	101	123	31
scaffold_1680	508	14	322	+	CP052040.1	5151772	3674140	3674442	72	308	30
scaffold_50	298037	205866	207582	-	CP052040.1	5151772	4962061	4963737	291	1716	30
scaffold_82	143064	74494	74670	+	CP052040.1	5151772	430025	430201	101	176	29
scaffold_145	69505	63336	64362	-	CP052040.1	5151772	4979289	4980333	76	1044	29
scaffold_33	455355	446368	447389	+	CP052040.1	5151772	5048980	5050000	70	1021	29
scaffold_77	149510	94846	95160	-	CP052040.1	5151772	413952	414268	96	316	28
scaffold_12	1155968	704361	704620	+	CP052040.1	5151772	417114	417373	97	259	28
scaffold_48	348853	148754	154137	-	CP052040.1	5151772	4025713	4030920	415	5488	27
scaffold_21	738175	47127	48154	-	CP052040.1	5151772	426790	427819	142	1029	26
scaffold_83	140534	21063	21155	-	CP052040.1	5151772	4900339	4900431	66	92	26
scaffold_4	1881388	518496	519551	+	CP052040.1	5151772	415351	416345	204	1055	25
scaffold_1571	531	167	260	-	CP052040.1	5151772	3034904	3034998	58	94	25
scaffold_67	184376	68398	68744	+	CP052040.1	5151772	4023525	4023872	84	347	25
scaffold_82	143064	14650	14731	+	CP052040.1	5151772	4911398	4911479	65	81	25
scaffold_129	76929	49831	54559	+	CP052040.1	5151772	4970633	4975276	248	4728	25
scaffold_61	235649	128745	129087	-	CP052040.1	5151772	1192113	1192455	63	342	24
scaffold_39	398046	114780	118062	-	CP052040.1	5151772	4035369	4038650	95	3291	24
scaffold_51	297976	158244	159578	+	CP052040.1	5151772	4909911	4911246	225	1336	24
scaffold_22	716055	37183	42964	+	CP052040.1	5151772	4965089	4970721	117	5781	24
scaffold_82	143064	65664	65772	-	CP052040.1	5151772	407233	407337	62	108	22
scaffold_175	46490	11743	12253	-	CP052040.1	5151772	437558	438151	72	593	22
scaffold_45	358384	102697	102993	-	CP052040.1	5151772	4965367	4965660	60	296	21
scaffold_61	235649	105298	105545	-	CP052040.1	5151772	4985458	4985705	60	247	21
scaffold_45	358384	245364	251041	+	CP052040.1	5151772	5108827	5114504	733	5677	21
scaffold_116	84153	2850	3332	-	CP052040.1	5151772	428260	428839	130	579	20
scaffold_28	539988	154364	154474	-	CP052040.1	5151772	3960795	3960905	99	110	20
scaffold_262	24986	24831	24886	-	CP052040.1	5151772	2022870	2022925	55	55	19
scaffold_5	1863748	399746	399861	-	CP052040.1	5151772	4023274	4023389	111	115	19
scaffold_91	120630	115513	115868	-	CP052040.1	5151772	4910216	4910571	71	355	19
scaffold_33	455355	419758	420195	+	CP052040.1	5151772	413994	414431	103	438	17
scaffold_75	154281	35825	35916	-	CP052040.1	5151772	5021699	5021790	55	91	17
scaffold_45	358384	301107	301177	+	CP052040.1	5151772	60768	60838	54	70	16
scaffold_283	22139	2589	6154	+	CP052040.1	5151772	4978435	4981838	231	3566	16
scaffold_102	100464	27020	28169	+	CP052040.1	5151772	60201	61348	157	1149	15
scaffold_32	471417	278726	279621	-	CP052040.1	5151772	4023310	4024206	205	897	15
scaffold_102	100464	27244	28816	-	CP052040.1	5151772	4909540	4911114	153	1574	15
scaffold_122	81337	36220	36345	-	CP052040.1	5151772	5121908	5122033	101	125	15
scaffold_12	1155968	728712	729086	+	CP052040.1	5151772	60457	60832	57	375	14
scaffold_131	76605	36444	36739	+	CP052040.1	5151772	60755	61051	57	296	14
scaffold_60	240913	14951	15277	+	CP052040.1	5151772	210523	210847	57	326	14
scaffold_21	738175	53671	53882	-	CP052040.1	5151772	406479	406690	91	211	14
scaffold_44	359581	195538	195764	+	CP052040.1	5151772	406533	406759	57	226	14
scaffold_315	18631	18195	18366	-	CP052040.1	5151772	413662	413833	57	171	14
scaffold_61	235649	82788	82860	-	CP052040.1	5151772	413939	414013	57	74	14
scaffold_59	256653	71164	73643	+	CP052040.1	5151772	420054	422511	76	2482	14
scaffold_14	908909	21490	21810	-	CP052040.1	5151772	426721	427041	57	320	14
scaffold_28	539988	186805	186919	-	CP052040.1	5151772	436684	436799	57	115	14
scaffold_102	100464	64469	65360	+	CP052040.1	5151772	4909976	4910869	57	893	14
scaffold_22	716055	27361	27709	-	CP052040.1	5151772	4959795	4960143	57	348	14
scaffold_129	76929	23975	28465	-	CP052040.1	5151772	4970676	4975081	149	4491	14
scaffold_212	35064	22445	22696	-	CP052040.1	5151772	4994768	4995017	57	251	14
scaffold_35	440808	245523	245757	-	CP052040.1	5151772	61637	61911	66	274	13
scaffold_48	348853	346372	346642	+	CP052040.1	5151772	4962258	4962528	51	270	13
scaffold_39	398046	135439	136123	+	CP052040.1	5151772	429263	429915	76	684	12
scaffold_5	1863748	316609	316719	-	CP052040.1	5151772	4050630	4050740	71	110	12
scaffold_1	2692756	96847	98550	-	CP052040.1	5151772	4909540	4911246	114	1706	12
scaffold_16	897138	9069	9416	+	CP052040.1	5151772	60813	61160	53	347	11
scaffold_30	507731	441885	442838	-	CP052040.1	5151772	415351	416328	118	986	11
scaffold_91	120630	117690	118739	-	CP052040.1	5151772	426790	427840	192	1050	11
scaffold_11	1212133	110990	111396	+	CP052040.1	5151772	437173	437577	73	406	11
scaffold_44	359581	177401	179602	+	CP052040.1	5151772	4034393	4036645	60	2253	11
scaffold_45	358384	229912	230061	-	CP052040.1	5151772	60346	60495	57	149	10
scaffold_111	88385	12075	19445	-	CP052040.1	5151772	4970676	4978167	704	7516	10
scaffold_44	359581	176626	177423	-	CP052040.1	5151772	415527	416328	64	801	9
scaffold_35	440808	254184	256629	+	CP052040.1	5151772	434288	436740	59	2452	9
scaffold_111	88385	68483	68751	-	CP052040.1	5151772	4023288	4023554	140	268	9
scaffold_11	1212133	237349	240437	-	CP052040.1	5151772	4023347	4026436	238	3090	9
scaffold_14	908909	25192	32261	-	CP052040.1	5151772	4971007	4978133	670	7133	9
scaffold_1678	509	79	392	+	CP052040.1	5151772	4979190	4979503	47	313	9
scaffold_9	1406917	470350	470416	-	CP052040.1	5151772	5118720	5118786	47	66	9
scaffold_11	1212133	111839	112028	+	CP052040.1	5151772	417467	417688	57	221	8
scaffold_44	359581	171603	174419	+	CP052040.1	5151772	4035257	4038045	56	2816	8
scaffold_116	84153	23042	23145	+	CP052040.1	5151772	5121908	5122010	65	103	8
scaffold_90	123581	50267	50950	-	CP052040.1	5151772	60377	61062	100	685	7
scaffold_2	2503568	2498740	2499960	+	CP052040.1	5151772	413994	415210	114	1220	7
scaffold_1	2692756	35644	36675	+	CP052040.1	5151772	435777	436799	179	1034	7
scaffold_35	440808	257053	258175	+	CP052040.1	5151772	60201	61322	134	1123	6
scaffold_131	76605	56718	56936	+	CP052040.1	5151772	406466	406690	49	224	6
scaffold_4	1881388	502993	503270	-	CP052040.1	5151772	416799	417081	68	282	6
scaffold_8	1419871	1291717	1291834	-	CP052040.1	5151772	429243	429359	77	117	6
scaffold_82	143064	79555	80197	+	CP052040.1	5151772	4910455	4911114	81	659	6
scaffold_40	392173	119595	120027	+	CP052040.1	5151772	60377	60832	62	455	5
scaffold_137	72425	17467	17550	+	CP052040.1	5151772	429243	429326	45	83	5
scaffold_9	1406917	1030573	1030648	-	CP052040.1	5151772	3417450	3417525	45	75	5
scaffold_1301	656	43	97	+	CP052040.1	5151772	4950016	4950070	45	54	5
scaffold_30	507731	20797	26563	-	CP052040.1	5151772	4970641	4976403	811	5766	5
scaffold_112	88048	25736	25885	+	CP052040.1	5151772	5047749	5047941	54	192	5
scaffold_14	908909	141730	141806	+	CP052040.1	5151772	5076352	5076428	46	76	5
scaffold_1153	761	48	102	+	CP052040.1	5151772	2750279	2750333	44	54	4
scaffold_1	2692756	112220	119364	+	CP052040.1	5151772	4023216	4030572	748	7358	4
scaffold_4	1881388	518271	518346	-	CP052040.1	5151772	60252	60327	43	75	3
scaffold_50	298037	2129	2638	-	CP052040.1	5151772	416791	417539	105	748	3
scaffold_40	392173	72274	72357	+	CP052040.1	5151772	4060881	4060963	43	83	3
scaffold_220	33416	26324	26923	-	CP052040.1	5151772	4964973	4965571	74	599	3
scaffold_104	98169	8187	9144	+	CP052040.1	5151772	435777	436740	133	975	2
scaffold_315	18631	4843	4938	+	CP052040.1	5151772	437871	437966	42	95	2
scaffold_12	1155968	733999	734289	+	CP052040.1	5151772	4022398	4022688	42	290	2
scaffold_6	1692318	1603457	1603587	+	CP052040.1	5151772	4032654	4032826	57	172	2
scaffold_59	256653	216617	216667	-	CP052040.1	5151772	4061307	4061357	50	50	2
scaffold_77	149510	98450	99217	+	CP052040.1	5151772	4909962	4910730	137	769	2
scaffold_99	104861	93338	93538	-	CP052040.1	5151772	5043721	5043921	57	200	2
scaffold_45	358384	238157	238606	-	CP052040.1	5151772	60476	60966	57	490	1
scaffold_39	398046	142121	143396	+	CP052040.1	5151772	4035586	4036721	120	1324	1
scaffold_1	2692756	35094	35394	-	CP052040.1	5151772	4060597	4060905	43	308	1
scaffold_51	297976	59242	60367	-	CP052040.1	5151772	4960035	4961161	96	1126	1
scaffold_1636	518	282	380	-	CP052040.1	5151772	5018513	5018599	44	98	1
scaffold_51	297976	193135	193342	-	CP052040.1	5151772	5077209	5077416	41	207	1
scaffold_50	298037	153665	153750	-	CP052040.1	5151772	5120095	5120180	47	85	1
scaffold_153	61587	9718	10074	+	CP052040.1	5151772	5159	5515	129	356	0
scaffold_131	76605	55571	56493	-	CP052040.1	5151772	43772	44630	168	933	0
scaffold_50	298037	151822	152040	-	CP052040.1	5151772	43803	44024	57	221	0
scaffold_67	184376	80190	80582	-	CP052040.1	5151772	43902	44297	101	395	0
scaffold_6	1692318	271756	272434	-	CP052040.1	5151772	43921	44630	114	715	0
scaffold_1711	501	75	259	+	CP052040.1	5151772	44446	44630	57	184	0
scaffold_220	33416	30082	30168	-	CP052040.1	5151772	44563	44649	53	86	0
scaffold_1617	522	58	144	-	CP052040.1	5151772	44563	44649	54	86	0
scaffold_220	33416	14333	15253	-	CP052040.1	5151772	60201	61088	82	920	0
scaffold_220	33416	25231	25976	+	CP052040.1	5151772	60343	61088	118	746	0
scaffold_6	1692318	261466	262223	-	CP052040.1	5151772	60476	61234	118	758	0
scaffold_183	43655	975	1587	-	CP052040.1	5151772	60476	61088	98	612	0
scaffold_315	18631	17718	18151	-	CP052040.1	5151772	60813	61244	57	433	0
scaffold_12	1155968	739114	739825	-	CP052040.1	5151772	61468	62212	127	747	0
scaffold_6	1692318	274129	274828	-	CP052040.1	5151772	61474	62164	110	699	0
